127.0.0.1 - - [21/Jan/2021:11:53:42 +0900] "GET / HTTP/1.1" 200 15602
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:53:43 +0900] "GET / HTTP/1.1" 200 15602
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:53:43 +0900] "GET /css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:53:43 +0900] "GET /css/agreement.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:53:43 +0900] "GET /css/c_header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:53:43 +0900] "GET /css/mypage/Rwriting.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:53:43 +0900] "GET /css/home/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:53:43 +0900] "GET /js/common/calendar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:53:43 +0900] "GET /js/agreement/agree.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:53:43 +0900] "GET /js/home/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:53:43 +0900] "GET /js/common/c_header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:53:43 +0900] "GET /css/picture/owlsLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:53:43 +0900] "GET /css/picture/Spa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:53:43 +0900] "GET /css/picture/picForSlide/massage-835468_1280.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:11:53:43 +0900] "GET /css/picture/picForSlide/treatment-1327811_1280.jpg HTTP/1.1" 304 -
